Year,"Inflation, consumer prices (annual %)","Population, total",GDP (current US$)
1960,1.457975986,180671000,5.433E+11
1961,1.070724148,183691000,5.633E+11
1962,1.198773348,186538000,6.051E+11
1963,1.239669421,189242000,6.386E+11
1964,1.278911565,191889000,6.858E+11
1965,1.585169264,194303000,7.437E+11
1966,3.015075377,196560000,8.15E+11
1967,2.772785623,198712000,8.617E+11
1968,4.271796153,200706000,9.425E+11
1969,5.4623862,202677000,1.0199E+12
1970,5.838255338,205052000,1.0733E+12
1971,4.292766688,207661000,1.16485E+12
1972,3.272278247,209896000,1.27911E+12
1973,6.177760064,211909000,1.42538E+12
1974,11.0548048,213854000,1.54524E+12
1975,9.143146865,215973000,1.6849E+12
1976,5.744812635,218035000,1.87341E+12
1977,6.501683995,220239000,2.08183E+12
1978,7.630963839,222585000,2.3516E+12
1979,11.25447113,225055000,2.62733E+12
1980,13.54920197,227225000,2.85731E+12
1981,10.33471534,229466000,3.20704E+12
1982,6.131427,231664000,3.34379E+12
1983,3.212435233,233792000,3.63404E+12
1984,4.300535475,235825000,4.03761E+12
1985,3.545644152,237924000,4.33898E+12
1986,1.898047722,240133000,4.57963E+12
1987,3.664563218,242289000,4.85522E+12
1988,4.077741107,244499000,5.23644E+12
1989,4.82700303,246819000,5.64158E+12
1990,5.39795644,249623000,5.96314E+12
1991,4.234963965,252981000,6.15813E+12
1992,3.028819678,256514000,6.52033E+12
1993,2.951656966,259919000,6.85856E+12
1994,2.607441592,263126000,7.28724E+12
1995,2.805419689,266278000,7.63975E+12
1996,2.9312042,269394000,8.07312E+12
1997,2.337689937,272657000,8.57755E+12
1998,1.552279099,275854000,9.06282E+12
1999,2.188027197,279040000,9.63066E+12
2000,3.376857271,282162411,1.02523E+13
2001,2.826171119,284968955,1.05818E+13
2002,1.586031627,287625193,1.09364E+13
2003,2.270094973,290107933,1.14582E+13
2004,2.677236693,292805298,1.22137E+13
2005,3.392746845,295516599,1.30366E+13
2006,3.225944101,298379912,1.38146E+13
2007,2.852672482,301231207,1.44519E+13
2008,3.839100297,304093966,1.47128E+13
2009,-0.355546266,306771529,1.44489E+13
2010,1.640043442,309327143,1.49921E+13
2011,3.156841569,311583481,1.55426E+13
2012,2.069337265,313877662,1.6197E+13
2013,1.464832656,316059947,1.67848E+13
2014,1.622222977,318386329,1.75272E+13
2015,0.118627136,320738994,1.82383E+13
2016,1.261583206,323071755,1.87451E+13
2017,2.130110004,325122128,1.9543E+13
2018,2.442583297,326838199,2.06119E+13
2019,1.812210075,328329953,2.14332E+13
2020,1.233584396,329484123,2.09366E+13
